model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.9911250000000001,0.9275,1.0,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.9975,0.97625,1.0,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.543625,0.0,0.99875,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.749875,0.1425,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8567500000000001,0.33375,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.927375,0.56875,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.9776250000000002,0.83125,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.9932500000000002,0.9475,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.9986250000000001,0.9875,1.0,0.9121663750011066,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.59,0.0025,0.99875,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,25,0.8131250000000001,0.2525,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,50,0.9136250000000001,0.4975,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,100,0.971375,0.78125,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,250,0.995,0.9575,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.9991249999999999,0.9925,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,1000,0.999875,0.99875,1.0,0.9366016249987297,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,10,0.58,0.0025,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,25,0.804625,0.22,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,50,0.9115000000000001,0.49125,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,100,0.9680000000000001,0.765,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,250,0.9958750000000001,0.96125,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,500,0.9991249999999999,0.99125,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,1000,1.0,1.0,1.0,0.9103555000001506,22.809298100000888,2.428133487701416
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.536,0.0075,0.99875,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.7361250000000001,0.1375,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8455000000000001,0.32125,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9172500000000001,0.51125,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.9717500000000001,0.78125,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.9911250000000001,0.92125,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.9982500000000001,0.9825,1.0,0.9414628749982512,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.576125,0.01,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.7892500000000001,0.21,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8923750000000001,0.45125,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.9542500000000002,0.66875,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.989375,0.91125,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.998375,0.98375,1.0,0.8213992499986489,0.0,2.3890020847320557
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.9997499999999999,0.9975,1.0,0.8213992499986489,0.0,2.3890020847320557
