model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,100,0.95625,0.6925,1.0,0.555373500000087,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,250,0.992,0.92875,1.0,0.555373500000087,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,500,0.99875,0.98875,1.0,0.555373500000087,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,1000,1.0,1.0,1.0,0.555373500000087,6.972557400000369,2.518106698989868
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.5345,0.00625,0.9975,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.730625,0.11875,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8440000000000001,0.30375,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9163750000000002,0.52125,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.9691250000000001,0.78,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.9902500000000001,0.92125,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.99675,0.97375,1.0,0.3362777500001357,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.540375,0.00125,0.9975,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.74275,0.1475,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8501249999999999,0.33,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.922625,0.5525,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.9725000000000001,0.80125,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.9903750000000001,0.92,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.998125,0.98375,1.0,0.5840986250001379,0.0,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.589375,0.0075,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,25,0.81,0.23875,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,50,0.911875,0.49125,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,100,0.9680000000000001,0.75,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,250,0.9945,0.95,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.99925,0.9925,1.0,0.4844672500001934,6.970956900000147,2.3200342655181885
