anchor_strategy,transform,top_k,query_count,anchor_count,anchor_seconds,transform_seconds,eval_seconds,pool_size,mean_recall,all_top_k_contained,any_hit
kmeans_boundary,zscore,10,1000,256,14.252739000017755,0.042010199977084994,0.38895339996088296,250,0.7335999999999999,0.247,0.994
kmeans_boundary,zscore,10,1000,256,14.252739000017755,0.042010199977084994,0.38895339996088296,500,0.7840000000000001,0.33,0.997
kmeans_boundary,row_zscore,10,1000,256,14.252739000017755,0.035193099989555776,0.25802670000121,100,0.9501000000000001,0.706,1.0
kmeans_boundary,row_zscore,10,1000,256,14.252739000017755,0.035193099989555776,0.25802670000121,250,0.9817,0.873,1.0
kmeans_boundary,row_zscore,10,1000,256,14.252739000017755,0.035193099989555776,0.25802670000121,500,0.9925999999999999,0.941,1.0
kmeans_boundary,rank,10,1000,256,14.252739000017755,0.08425349998287857,0.3013687999919057,100,0.9352999999999999,0.646,1.0
kmeans_boundary,rank,10,1000,256,14.252739000017755,0.08425349998287857,0.3013687999919057,250,0.9755,0.831,1.0
kmeans_boundary,rank,10,1000,256,14.252739000017755,0.08425349998287857,0.3013687999919057,500,0.9905,0.926,1.0
kmeans_boundary,top32,10,1000,256,14.252739000017755,0.07235129992477596,0.22006069996859878,100,0.73,0.21,0.998
kmeans_boundary,top32,10,1000,256,14.252739000017755,0.07235129992477596,0.22006069996859878,250,0.8514,0.405,1.0
kmeans_boundary,top32,10,1000,256,14.252739000017755,0.07235129992477596,0.22006069996859878,500,0.9218,0.588,1.0
kmeans_boundary,top64,10,1000,256,14.252739000017755,0.07643189991358668,0.21883020002860576,100,0.79,0.288,1.0
kmeans_boundary,top64,10,1000,256,14.252739000017755,0.07643189991358668,0.21883020002860576,250,0.8983,0.516,1.0
kmeans_boundary,top64,10,1000,256,14.252739000017755,0.07643189991358668,0.21883020002860576,500,0.9544000000000001,0.728,1.0
kmeans_boundary,binary_top32,10,1000,256,14.252739000017755,0.06606909993570298,0.21879150008317083,100,0.6947,0.174,0.997
kmeans_boundary,binary_top32,10,1000,256,14.252739000017755,0.06606909993570298,0.21879150008317083,250,0.831,0.361,1.0
kmeans_boundary,binary_top32,10,1000,256,14.252739000017755,0.06606909993570298,0.21879150008317083,500,0.9045,0.524,1.0
kmeans_boundary,softmax_0.05,10,1000,256,14.252739000017755,0.04077870002947748,0.2361061000265181,100,0.7577,0.232,1.0
kmeans_boundary,softmax_0.05,10,1000,256,14.252739000017755,0.04077870002947748,0.2361061000265181,250,0.8556,0.378,1.0
kmeans_boundary,softmax_0.05,10,1000,256,14.252739000017755,0.04077870002947748,0.2361061000265181,500,0.9132,0.523,1.0
kmeans_boundary,softmax_0.1,10,1000,256,14.252739000017755,0.055908899987116456,0.22170130000449717,100,0.8837,0.446,1.0
kmeans_boundary,softmax_0.1,10,1000,256,14.252739000017755,0.055908899987116456,0.22170130000449717,250,0.9422,0.631,1.0
kmeans_boundary,softmax_0.1,10,1000,256,14.252739000017755,0.055908899987116456,0.22170130000449717,500,0.9668000000000001,0.747,1.0
kmeans_boundary,sign_centered,10,1000,256,14.252739000017755,0.02656489994842559,0.23844960005953908,100,0.5415,0.079,0.97
kmeans_boundary,sign_centered,10,1000,256,14.252739000017755,0.02656489994842559,0.23844960005953908,250,0.6502,0.143,0.989
kmeans_boundary,sign_centered,10,1000,256,14.252739000017755,0.02656489994842559,0.23844960005953908,500,0.7332000000000001,0.238,0.994
language_kmeans_medoid,raw,10,1000,256,3.6779525000602007,0.04027429991401732,0.43236980005167425,100,0.8879000000000001,0.493,1.0
language_kmeans_medoid,raw,10,1000,256,3.6779525000602007,0.04027429991401732,0.43236980005167425,250,0.9438000000000001,0.682,1.0
language_kmeans_medoid,raw,10,1000,256,3.6779525000602007,0.04027429991401732,0.43236980005167425,500,0.9715999999999999,0.815,1.0
language_kmeans_medoid,centered,10,1000,256,3.6779525000602007,0.04222549998667091,0.32446899998467416,100,0.5905999999999999,0.081,0.975
language_kmeans_medoid,centered,10,1000,256,3.6779525000602007,0.04222549998667091,0.32446899998467416,250,0.6727000000000001,0.16,0.982
language_kmeans_medoid,centered,10,1000,256,3.6779525000602007,0.04222549998667091,0.32446899998467416,500,0.7265,0.248,0.987
language_kmeans_medoid,zscore,10,1000,256,3.6779525000602007,0.04477349994704127,0.3006275000516325,100,0.5945999999999999,0.081,0.974
language_kmeans_medoid,zscore,10,1000,256,3.6779525000602007,0.04477349994704127,0.3006275000516325,250,0.672,0.162,0.982
language_kmeans_medoid,zscore,10,1000,256,3.6779525000602007,0.04477349994704127,0.3006275000516325,500,0.7246,0.245,0.986
language_kmeans_medoid,row_zscore,10,1000,256,3.6779525000602007,0.057864799979142845,0.38553790003061295,100,0.8982,0.532,1.0
language_kmeans_medoid,row_zscore,10,1000,256,3.6779525000602007,0.057864799979142845,0.38553790003061295,250,0.9514,0.719,1.0
language_kmeans_medoid,row_zscore,10,1000,256,3.6779525000602007,0.057864799979142845,0.38553790003061295,500,0.9743,0.829,1.0
language_kmeans_medoid,rank,10,1000,256,3.6779525000602007,0.10358230001293123,0.2357414000434801,100,0.8739000000000001,0.46,1.0
language_kmeans_medoid,rank,10,1000,256,3.6779525000602007,0.10358230001293123,0.2357414000434801,250,0.9364,0.657,1.0
language_kmeans_medoid,rank,10,1000,256,3.6779525000602007,0.10358230001293123,0.2357414000434801,500,0.9666,0.78,1.0
language_kmeans_medoid,top32,10,1000,256,3.6779525000602007,0.08733670006040484,0.21360729995649308,100,0.7119,0.206,0.998
language_kmeans_medoid,top32,10,1000,256,3.6779525000602007,0.08733670006040484,0.21360729995649308,250,0.8331000000000002,0.376,0.999
language_kmeans_medoid,top32,10,1000,256,3.6779525000602007,0.08733670006040484,0.21360729995649308,500,0.9037000000000001,0.555,1.0
language_kmeans_medoid,top64,10,1000,256,3.6779525000602007,0.07124069996643811,0.2308750000083819,100,0.7577,0.239,0.999
language_kmeans_medoid,top64,10,1000,256,3.6779525000602007,0.07124069996643811,0.2308750000083819,250,0.8606,0.429,1.0
language_kmeans_medoid,top64,10,1000,256,3.6779525000602007,0.07124069996643811,0.2308750000083819,500,0.9197000000000001,0.599,1.0
language_kmeans_medoid,binary_top32,10,1000,256,3.6779525000602007,0.10842359997332096,0.25283940008375794,100,0.681,0.165,0.995
language_kmeans_medoid,binary_top32,10,1000,256,3.6779525000602007,0.10842359997332096,0.25283940008375794,250,0.8117000000000001,0.34,0.999
language_kmeans_medoid,binary_top32,10,1000,256,3.6779525000602007,0.10842359997332096,0.25283940008375794,500,0.8884,0.509,1.0
language_kmeans_medoid,softmax_0.05,10,1000,256,3.6779525000602007,0.037784700049087405,0.22865840001031756,100,0.7312000000000001,0.23,0.999
language_kmeans_medoid,softmax_0.05,10,1000,256,3.6779525000602007,0.037784700049087405,0.22865840001031756,250,0.8147000000000001,0.345,1.0
language_kmeans_medoid,softmax_0.05,10,1000,256,3.6779525000602007,0.037784700049087405,0.22865840001031756,500,0.8575000000000002,0.41,1.0
language_kmeans_medoid,softmax_0.1,10,1000,256,3.6779525000602007,0.042545400094240904,0.21811979997437447,100,0.7749000000000001,0.214,1.0
language_kmeans_medoid,softmax_0.1,10,1000,256,3.6779525000602007,0.042545400094240904,0.21811979997437447,250,0.8434,0.316,1.0
language_kmeans_medoid,softmax_0.1,10,1000,256,3.6779525000602007,0.042545400094240904,0.21811979997437447,500,0.8802000000000001,0.371,1.0
language_kmeans_medoid,sign_centered,10,1000,256,3.6779525000602007,0.028552600066177547,0.20532889990136027,100,0.452,0.027,0.944
language_kmeans_medoid,sign_centered,10,1000,256,3.6779525000602007,0.028552600066177547,0.20532889990136027,250,0.564,0.061,0.981
language_kmeans_medoid,sign_centered,10,1000,256,3.6779525000602007,0.028552600066177547,0.20532889990136027,500,0.6623000000000001,0.118,0.992
density_dense,raw,10,1000,256,3.095846200012602,0.016190599999390543,0.2979353000409901,100,0.6405,0.139,0.995
density_dense,raw,10,1000,256,3.095846200012602,0.016190599999390543,0.2979353000409901,250,0.7623000000000001,0.253,0.998
density_dense,raw,10,1000,256,3.095846200012602,0.016190599999390543,0.2979353000409901,500,0.8454,0.383,0.999
density_dense,centered,10,1000,256,3.095846200012602,0.03659959998913109,0.3511453999672085,100,0.4565,0.056,0.946
density_dense,centered,10,1000,256,3.095846200012602,0.03659959998913109,0.3511453999672085,250,0.5581,0.092,0.969
density_dense,centered,10,1000,256,3.095846200012602,0.03659959998913109,0.3511453999672085,500,0.639,0.15,0.983
density_dense,zscore,10,1000,256,3.095846200012602,0.03179189993534237,0.29698850004933774,100,0.45940000000000003,0.053,0.949
density_dense,zscore,10,1000,256,3.095846200012602,0.03179189993534237,0.29698850004933774,250,0.5622999999999999,0.097,0.969
density_dense,zscore,10,1000,256,3.095846200012602,0.03179189993534237,0.29698850004933774,500,0.6405,0.148,0.984
density_dense,row_zscore,10,1000,256,3.095846200012602,0.05990590003784746,0.2785510999383405,100,0.6567000000000001,0.164,0.996
density_dense,row_zscore,10,1000,256,3.095846200012602,0.05990590003784746,0.2785510999383405,250,0.7724000000000001,0.27,0.999
density_dense,row_zscore,10,1000,256,3.095846200012602,0.05990590003784746,0.2785510999383405,500,0.8494,0.403,1.0
density_dense,rank,10,1000,256,3.095846200012602,0.1000783999916166,0.327304600039497,100,0.6133000000000001,0.116,0.991
density_dense,rank,10,1000,256,3.095846200012602,0.1000783999916166,0.327304600039497,250,0.7331,0.22,0.997
density_dense,rank,10,1000,256,3.095846200012602,0.1000783999916166,0.327304600039497,500,0.8209,0.334,0.999
density_dense,top32,10,1000,256,3.095846200012602,0.15256099996622652,0.2693825999740511,100,0.45020000000000004,0.071,0.965
density_dense,top32,10,1000,256,3.095846200012602,0.15256099996622652,0.2693825999740511,250,0.5858,0.121,0.988
density_dense,top32,10,1000,256,3.095846200012602,0.15256099996622652,0.2693825999740511,500,0.6989,0.198,0.995
density_dense,top64,10,1000,256,3.095846200012602,0.08852380001917481,0.4987478998955339,100,0.4803,0.056,0.961
density_dense,top64,10,1000,256,3.095846200012602,0.08852380001917481,0.4987478998955339,250,0.6187999999999999,0.143,0.988
density_dense,top64,10,1000,256,3.095846200012602,0.08852380001917481,0.4987478998955339,500,0.7269000000000001,0.222,0.998
density_dense,binary_top32,10,1000,256,3.095846200012602,0.1391333999345079,0.4533961999695748,100,0.43360000000000004,0.049,0.952
density_dense,binary_top32,10,1000,256,3.095846200012602,0.1391333999345079,0.4533961999695748,250,0.5672999999999999,0.108,0.988
density_dense,binary_top32,10,1000,256,3.095846200012602,0.1391333999345079,0.4533961999695748,500,0.6853,0.18,0.995
density_dense,softmax_0.05,10,1000,256,3.095846200012602,0.05938240000978112,0.4440206999424845,100,0.5732,0.089,0.99
density_dense,softmax_0.05,10,1000,256,3.095846200012602,0.05938240000978112,0.4440206999424845,250,0.7116999999999999,0.197,0.997
density_dense,softmax_0.05,10,1000,256,3.095846200012602,0.05938240000978112,0.4440206999424845,500,0.7982,0.299,1.0
density_dense,softmax_0.1,10,1000,256,3.095846200012602,0.06129829993005842,0.44811270001810044,100,0.6263,0.126,0.994
density_dense,softmax_0.1,10,1000,256,3.095846200012602,0.06129829993005842,0.44811270001810044,250,0.7446,0.214,0.998
density_dense,softmax_0.1,10,1000,256,3.095846200012602,0.06129829993005842,0.44811270001810044,500,0.8252,0.329,0.999
density_dense,sign_centered,10,1000,256,3.095846200012602,0.046976500074379146,0.39768019993789494,100,0.284,0.005,0.863
density_dense,sign_centered,10,1000,256,3.095846200012602,0.046976500074379146,0.39768019993789494,250,0.4027,0.015,0.945
density_dense,sign_centered,10,1000,256,3.095846200012602,0.046976500074379146,0.39768019993789494,500,0.5167,0.037,0.975
density_sparse,raw,10,1000,256,3.774478600011207,0.03324620006605983,0.4750635999953374,100,0.9341000000000002,0.626,1.0
density_sparse,raw,10,1000,256,3.774478600011207,0.03324620006605983,0.4750635999953374,250,0.9770000000000001,0.84,1.0
density_sparse,raw,10,1000,256,3.774478600011207,0.03324620006605983,0.4750635999953374,500,0.991,0.93,1.0
density_sparse,centered,10,1000,256,3.774478600011207,0.04640490002930164,0.3459128000540659,100,0.6711,0.142,0.986
density_sparse,centered,10,1000,256,3.774478600011207,0.04640490002930164,0.3459128000540659,250,0.7436,0.241,0.995
density_sparse,centered,10,1000,256,3.774478600011207,0.04640490002930164,0.3459128000540659,500,0.7918000000000001,0.342,0.997
density_sparse,zscore,10,1000,256,3.774478600011207,0.06335780001245439,0.336979900021106,100,0.67,0.144,0.986
